Id,Neighborhood,HouseStyle,YearBuilt,Exterior1st,ExterQual,Functional,MoSold,SaleType,SaleCondition,SalePrice
23,CollgCr,1Story,2002,VinylSd,Gd,Typ,9,WD,Normal,230000
33,CollgCr,1Story,2007,VinylSd,Gd,Typ,1,WD,Normal,179900
37,CollgCr,1Story,1994,VinylSd,TA,Typ,6,WD,Normal,145000
44,CollgCr,1Story,1975,VinylSd,TA,Typ,7,WD,Normal,130250
68,CollgCr,1Story,2003,VinylSd,Gd,Typ,6,WD,Normal,226000
90,CollgCr,1Story,1994,VinylSd,TA,Typ,8,WD,Normal,123600
97,CollgCr,1Story,1999,VinylSd,Gd,Typ,8,WD,Normal,214000
104,CollgCr,1Story,2009,VinylSd,TA,Typ,5,WD,Normal,198900
142,CollgCr,1Story,2005,VinylSd,Gd,Typ,1,WD,Normal,260000
144,CollgCr,1Story,1999,VinylSd,Gd,Typ,6,WD,Normal,204000
193,CollgCr,1Story,1999,VinylSd,Gd,Typ,9,WD,Normal,192000
204,CollgCr,1Story,2004,VinylSd,Gd,Typ,1,WD,Normal,149000
214,CollgCr,1Story,1995,VinylSd,TA,Typ,7,WD,Normal,156000
217,CollgCr,1Story,2004,VinylSd,Gd,Typ,4,WD,Normal,210000
237,CollgCr,1Story,2004,VinylSd,Gd,Typ,5,WD,Normal,185500
303,CollgCr,1Story,2001,VinylSd,Gd,Typ,1,WD,Normal,205000
338,CollgCr,1Story,2002,VinylSd,Gd,Typ,12,WD,Normal,214000
356,CollgCr,1Story,1995,VinylSd,Gd,Typ,8,WD,Normal,177500
389,CollgCr,1Story,1999,VinylSd,Gd,Typ,7,WD,Normal,191000
477,CollgCr,1Story,1997,VinylSd,TA,Typ,4,WD,Normal,208900
479,CollgCr,1Story,2007,VinylSd,Gd,Typ,9,WD,Normal,297000
540,CollgCr,1Story,2001,VinylSd,Gd,Typ,5,WD,Normal,272000
594,CollgCr,1Story,2003,VinylSd,Gd,Typ,5,WD,Normal,140000
605,CollgCr,1Story,2002,VinylSd,Gd,Typ,9,WD,Normal,221000
607,CollgCr,1Story,1996,VinylSd,TA,Typ,11,WD,Normal,152000
684,CollgCr,1Story,2002,VinylSd,Gd,Typ,7,WD,Normal,285000
691,CollgCr,1Story,2004,VinylSd,Gd,Typ,5,WD,Normal,141000
705,CollgCr,1Story,2004,VinylSd,Gd,Typ,5,WD,Normal,213000
722,CollgCr,1Story,2004,VinylSd,Gd,Typ,5,WD,Normal,143000
728,CollgCr,1Story,2007,VinylSd,Gd,Typ,2,WD,Normal,194500
753,CollgCr,1Story,1997,VinylSd,TA,Typ,7,WD,Normal,217000
769,CollgCr,1Story,2004,VinylSd,Gd,Typ,10,WD,Normal,216837
783,CollgCr,1Story,2001,VinylSd,Gd,Typ,6,WD,Normal,187100
816,CollgCr,1Story,1998,VinylSd,TA,Typ,5,WD,Normal,224900
839,CollgCr,1Story,1995,VinylSd,TA,Typ,6,WD,Normal,144000
851,CollgCr,1Story,2003,VinylSd,Gd,Typ,11,WD,Normal,131500
880,CollgCr,1Story,1978,VinylSd,Gd,Typ,7,WD,Normal,136500
929,CollgCr,1Story,2001,VinylSd,Gd,Typ,6,WD,Normal,236500
934,CollgCr,1Story,2004,VinylSd,Gd,Typ,8,WD,Normal,190000
959,CollgCr,1Story,2003,VinylSd,Gd,Typ,10,WD,Normal,185000
964,CollgCr,1Story,2007,VinylSd,Gd,Typ,5,WD,Normal,239000
1000,CollgCr,1Story,2006,VinylSd,Gd,Typ,2,WD,Normal,206000
1017,CollgCr,1Story,1996,VinylSd,Gd,Typ,6,WD,Normal,203000
1026,CollgCr,1Story,1972,VinylSd,TA,Typ,3,WD,Normal,112500
1034,CollgCr,1Story,2002,VinylSd,Gd,Typ,2,WD,Normal,230000
1048,CollgCr,1Story,1994,VinylSd,TA,Typ,2,WD,Normal,145000
1075,CollgCr,1Story,2006,VinylSd,Gd,Typ,5,WD,Normal,194000
1079,CollgCr,1Story,2004,VinylSd,Gd,Typ,5,WD,Normal,155900
1080,CollgCr,1Story,1994,VinylSd,TA,Typ,4,WD,Normal,126000
1083,CollgCr,1Story,2002,VinylSd,Gd,Typ,9,WD,Normal,192000
1096,CollgCr,1Story,2006,VinylSd,Gd,Typ,3,WD,Normal,176432
1167,CollgCr,1Story,2008,VinylSd,Gd,Typ,2,WD,Normal,245350
1199,CollgCr,1Story,2001,VinylSd,Gd,Typ,6,WD,Normal,178000
1204,CollgCr,1Story,2000,VinylSd,Gd,Typ,10,WD,Normal,213000
1208,CollgCr,1Story,2003,VinylSd,Gd,Typ,5,WD,Normal,200000
1281,CollgCr,1Story,2002,VinylSd,Gd,Typ,3,WD,Normal,227000
1308,CollgCr,1Story,1994,VinylSd,TA,Typ,5,WD,Normal,138000
1317,CollgCr,1Story,2008,VinylSd,Gd,Typ,1,WD,Normal,295493
1319,CollgCr,1Story,2001,VinylSd,Gd,Typ,8,WD,Normal,275000
1369,CollgCr,1Story,2003,VinylSd,Gd,Typ,6,WD,Normal,144000
1370,CollgCr,1Story,2003,VinylSd,Gd,Typ,5,WD,Normal,232000
1391,CollgCr,1Story,2000,VinylSd,Gd,Typ,9,WD,Normal,235000
1423,CollgCr,1Story,2003,VinylSd,Gd,Typ,3,WD,Normal,136500
1442,CollgCr,1Story,2004,VinylSd,Gd,Typ,5,WD,Normal,149300
1445,CollgCr,1Story,2004,VinylSd,Gd,Typ,11,WD,Normal,179600
